,Unnamed: 0,GMLID,LocalId,Namespace,Version,NatlStationCode,Name,Municipality,EUStationCode,ActivityBegin,ActivityEnd,Latitude,Longitude,SRSName,Altitude,AltitudeUnit,AreaClassification,BelongsTo
0,0,STA-FR01001,STA-FR01001,FR.LCSQA-INERIS.AQ,1,FR01001,Longlaville-Ecole,LONGLAVILLE,FR01001,1993-01-01T00:00:00+01:00,2014-11-04T00:00:00+01:00,49.535004,5.804447,urn:ogc:def:crs:EPSG::4326,265,http://dd.eionet.europa.eu/vocabulary/uom/length/m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/suburban,FR.LCSQA-INERIS.AQ/NET-FR075A
1,1,STA-FR01004,STA-FR01004,FR.LCSQA-INERIS.AQ,1,FR01004,Distroff,DISTROFF,FR01004,1992-07-01T00:00:00+01:00,2013-06-29T00:00:00+01:00,49.332497,6.271664,urn:ogc:def:crs:EPSG::4326,223,http://dd.eionet.europa.eu/vocabulary/uom/length/m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/rural-regional,FR.LCSQA-INERIS.AQ/NET-FR075A
2,2,STA-FR01005,STA-FR01005,FR.LCSQA-INERIS.AQ,2,FR01005,Hayange,HAYANGE,FR01005,1990-06-01T00:00:00+01:00,2021-01-18T00:00:00+01:00,49.324722,6.076108,urn:ogc:def:crs:EPSG::4326,187,http://dd.eionet.europa.eu/vocabulary/uom/length/m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/suburban,FR.LCSQA-INERIS.AQ/NET-FR075A
3,3,STA-FR01006,STA-FR01006,FR.LCSQA-INERIS.AQ,1,FR01006,Florange,FLORANGE,FR01006,1988-07-01T00:00:00+01:00,2016-01-07T00:00:00+01:00,49.32083,6.14,urn:ogc:def:crs:EPSG::4326,158,http://dd.eionet.europa.eu/vocabulary/uom/length/m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/suburban,FR.LCSQA-INERIS.AQ/NET-FR075A
4,4,STA-FR01009,STA-FR01009,FR.LCSQA-INERIS.AQ,2,FR01009,Gandrange,GANDRANGE,FR01009,1993-01-01T00:00:00+01:00,2018-04-13T00:00:00+01:00,49.271393,6.1325,urn:ogc:def:crs:EPSG::4326,180,http://dd.eionet.europa.eu/vocabulary/uom/length/m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/suburban,FR.LCSQA-INERIS.AQ/NET-FR075A
5,5,STA-FR01010,STA-FR01010,FR.LCSQA-INERIS.AQ,1,FR01010,La Maxe,LA MAXE,FR01010,1990-06-01T00:00:00+01:00,2013-01-03T00:00:00+01:00,49.164165,6.186392,urn:ogc:def:crs:EPSG::4326,165,http://dd.eionet.europa.eu/vocabulary/uom/length/m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/suburban,FR.LCSQA-INERIS.AQ/NET-FR075A
6,6,STA-FR01011,STA-FR01011,FR.LCSQA-INERIS.AQ,2,FR01011,Metz-Centre,METZ,FR01011,1989-01-01T00:00:00+01:00,,49.119442,6.180833,urn:ogc:def:crs:EPSG::4326,192,http://dd.eionet.europa.eu/vocabulary/uom/length/m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban,FR.LCSQA-INERIS.AQ/NET-FR075A
7,7,STA-FR01012,STA-FR01012,FR.LCSQA-INERIS.AQ,2,FR01012,Metz-Borny,METZ,FR01012,1991-01-01T00:00:00+01:00,,49.110283,6.223336,urn:ogc:def:crs:EPSG::4326,204,http://dd.eionet.europa.eu/vocabulary/uom/length/m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban,FR.LCSQA-INERIS.AQ/NET-FR075A
8,8,STA-FR01014,STA-FR01014,FR.LCSQA-INERIS.AQ,2,FR01014,Pont-à-Mousson,PONT-À-MOUSSON,FR01014,1990-09-01T00:00:00+01:00,,48.915,6.058336,urn:ogc:def:crs:EPSG::4326,179,http://dd.eionet.europa.eu/vocabulary/uom/length/m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban,FR.LCSQA-INERIS.AQ/NET-FR075A
9,9,STA-FR01015,STA-FR01015,FR.LCSQA-INERIS.AQ,2,FR01015,Blénod-lès-PAM,BLÉNOD-LÈS-PONT-À-MOUSSON,FR01015,1990-07-01T00:00:00+01:00,2022-04-19T00:00:00+01:00,48.884724,6.051392,urn:ogc:def:crs:EPSG::4326,186,http://dd.eionet.europa.eu/vocabulary/uom/length/m,http://dd.eionet.europa.eu/vocabulary/aq/areaclassification/urban,FR.LCSQA-INERIS.AQ/NET-FR075A
